1000589	1000589,119602,1334,119603,1301,1300,186826,91061,1239,1783272,2,131567,1	no rank	Streptococcus dysgalactiae subsp. equisimilis SK1249
1000590	1000590,1282,1279,90964,1385,91061,1239,1783272,2,131567,1	no rank	Staphylococcus epidermidis 14.1.R1.SE
1000951	1000951,666,662,641,135623,1236,1224,2,131567,1	no rank	Vibrio cholerae HC-81A2
1000952	1000952,666,662,641,135623,1236,1224,2,131567,1	no rank	Vibrio cholerae HC-17A2
1000953	1000953,666,662,641,135623,1236,1224,2,131567,1	no rank	Vibrio cholerae HC-72A2
1001530	1001530,48408,553611,657,641,135623,1236,1224,2,131567,1	no rank	Photobacterium leiognathi subsp. mandapamensis svers.1.1.
1001582	1001582,1390,1938374,653685,1386,186817,1385,91061,1239,1783272,2,131567,1	no rank	Bacillus amyloliquefaciens LL3
1001585	1001585,300,136841,286,135621,72274,1236,1224,2,131567,1	no rank	Pseudomonas mendocina NK-01
1001588	1001588,173,171,170,1643688,203692,203691,2,131567,1	no rank	Leptospira interrogans str. 2002000621
1001589	1001589,28184,171,170,1643688,203692,203691,2,131567,1	no rank	Leptospira weilii str. 2006001853
1001593	1001593,28182,171,170,1643688,203692,203691,2,131567,1	no rank	Leptospira noguchii str. 2006001870
1001601	1001601,312179,173,171,170,1643688,203692,203691,2,131567,1	no rank	Leptospira interrogans serovar Zanoni str. LT2156
1001715	1001715,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 3A-0122-R
1001716	1001716,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 3A-0122-S
1001717	1001717,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 3A-0810-R
1001719	1001719,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 3A-0930-S
1001720	1001720,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 3A-0930-R
1001734	1001734,36809,670506,670516,1763,1762,85007,1760,201174,1783272,2,131567,1	no rank	Mycobacterium abscessus 5S-1215
1001989	1001989,562,561,543,91347,1236,1224,2,131567,1	no rank	Escherichia coli PCN033
100226	100226,1902,1477431,1883,2062,85011,1760,201174,1783272,2,131567,1	no rank	Streptomyces coelicolor A3(2)
1002364	1002364,569,568,1903412,91347,1236,1224,2,131567,1	no rank	Hafnia alvei ATCC 51873
1002365	1002365,47715,1578,33958,186826,91061,1239,1783272,2,131567,1	no rank	Lactobacillus rhamnosus ATCC 21052
1002366	1002366,1642,1637,186820,1385,91061,1239,1783272,2,131567,1	no rank	Listeria innocua ATCC 33091
1002368	1002368,158877,158876,543,91347,1236,1224,2,131567,1	no rank	Yokenella regensburgei ATCC 43003
1002369	1002369,1496,1870884,186804,186802,186801,1239,1783272,2,131567,1	no rank	Clostridioides difficile 70-100-2010
1003185	1003185,58095,59201,28901,590,543,91347,1236,1224,2,131567,1	no rank	Salmonella enterica subsp. enterica serovar Agona str. SA-1
1003188	1003188,58095,59201,28901,590,543,91347,1236,1224,2,131567,1	no rank	Salmonella enterica subsp. enterica serovar Agona str. SA-4
1003191	1003191,143221,59201,28901,590,543,91347,1236,1224,2,131567,1	no rank	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19
1003192	1003192,143221,59201,28901,590,543,91347,1236,1224,2,131567,1	no rank	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-21
1004153	1004153,562,561,543,91347,1236,1224,2,131567,1	no rank	Escherichia coli AA86
1004785	1004785,28108,226,72275,135622,1236,1224,2,131567,1	no rank	Alteromonas macleodii str. 'Black Sea 11'
1004786	1004786,314275,226,72275,135622,1236,1224,2,131567,1	no rank	Alteromonas mediterranea DE1
1004787	1004787,28108,226,72275,135622,1236,1224,2,131567,1	no rank	Alteromonas macleodii str. 'Balearic Sea AD45'
1004788	1004788,28108,226,72275,135622,1236,1224,2,131567,1	no rank	Alteromonas macleodii str. 'English Channel 673'
100480	100480,37452,171558,976,68336,1783270,2,131567,1	species	Cytophagales bacterium B6
1004836	1004836,89583,433,204441,28211,1224,2,131567,1	species	Gluconacetobacter sp. SXCC-1
1004951	1004951,1307,1301,1300,186826,91061,1239,1783272,2,131567,1	no rank	Streptococcus suis ST1
1004952	1004952,1307,1301,1300,186826,91061,1239,1783272,2,131567,1	no rank	Streptococcus suis D12
1005041	1005041,1307,1301,1300,186826,91061,1239,1783272,2,131567,1	no rank	Streptococcus suis SS12
1005048	1005048,158899,202907,75682,80840,28216,1224,2,131567,1	no rank	Collimonas fungivorans Ter331
1005058	1005058,750,155493,712,135625,1236,1224,2,131567,1	no rank	Gallibacterium anatis UMN179
1005395	1005395,303,136845,286,135621,72274,1236,1224,2,131567,1	no rank	Pseudomonas putida CSV86
